card_code,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_sum,segment,gender,date_of_birth,age
2717041000750,2,13,12420.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041000767,10,9,12920.0,4,1,1,411,6,Leaving Customers,Female,,
2717041000828,110,1,540.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000859,98,3,5435.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000866,63,10,53145.0,1,1,2,112,4,Leaving Customers,Female,,
2717041000897,87,2,3870.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000903,12,15,15760.0,4,1,1,411,6,Leaving Customers,Male,,
2717041000910,9,6,7580.0,4,1,1,411,6,Leaving Customers,Female,,
2717041000927,128,1,3000.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000934,72,9,38391.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000972,158,1,5250.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000996,7,13,33730.0,4,1,1,411,6,Leaving Customers,Female,,
2717041001023,169,1,1970.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001030,141,3,12750.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001047,72,2,10360.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001078,26,8,19500.0,3,1,1,311,5,Leaving Customers,Female,,
2717041001122,100,3,2040.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001177,106,5,10911.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001214,16,7,23730.0,3,1,1,311,5,Leaving Customers,Female,,
2717041001269,4,20,73520.0,5,2,2,522,9,Potential Loyalists,Female,,
2717041001290,89,1,300.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001313,133,1,2400.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001337,14,1,3470.0,4,1,1,411,6,Leaving Customers,Male,,
2717041001368,75,2,4920.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001399,50,4,7860.0,2,1,1,211,4,Leaving Customers,Female,,
2717041001412,21,31,88707.0,3,2,2,322,7,Potential Loyalists,Female,,
2717041001450,8,13,4176.0,4,1,1,411,6,Leaving Customers,Female,,
2717041001467,23,13,34140.0,3,1,1,311,5,Leaving Customers,Female,,
2717041001474,8,16,64745.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041001573,207,2,5650.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001610,13,18,52310.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041001672,23,4,13870.0,3,1,1,311,5,Leaving Customers,Female,,
2717041001757,15,25,22934.0,3,2,1,321,6,Leaving Customers,,,
2717041001771,95,28,39740.0,1,2,1,121,4,Leaving Customers,Female,,
2717041001825,128,1,4800.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001856,39,6,10260.0,2,1,1,211,4,Leaving Customers,Female,,
2717041001870,108,5,23930.0,1,1,1,111,3,Leaving Customers,Female,,
2717041001887,27,21,41910.0,3,2,1,321,6,Leaving Customers,Female,,
2717041001993,12,12,17444.0,4,1,1,411,6,Leaving Customers,Female,,
2717041002013,165,2,4770.0,1,1,1,111,3,Leaving Customers,Female,,
2717041002044,11,18,62100.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041002068,147,1,2170.0,1,1,1,111,3,Leaving Customers,Female,,
2717041002082,30,21,40390.0,2,2,1,221,5,Leaving Customers,Female,,
2717041002112,1,19,41735.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041002143,2,10,42040.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041002204,16,8,6965.0,3,1,1,311,5,Leaving Customers,Female,,
2717041002242,105,8,30520.0,1,1,1,111,3,Leaving Customers,Female,,
2717041002266,5,50,96070.0,4,3,2,432,9,Potential Loyalists,Female,,
2717041002273,128,4,17990.0,1,1,1,111,3,Leaving Customers,Female,,
2717041002297,41,26,23970.0,2,2,1,221,5,Leaving Customers,Female,,
2717041002303,129,1,1400.0,1,1,1,111,3,Leaving Customers,Female,,
2717041002310,7,8,16310.0,4,1,1,411,6,Leaving Customers,Female,,
2717041002532,12,13,24970.0,4,1,1,411,6,Leaving Customers,Female,,
2717041002563,67,7,8710.0,1,1,1,111,3,Leaving Customers,Female,,
2717041002617,5,9,49200.0,4,1,1,411,6,Leaving Customers,Female,,
2717041002631,12,9,14760.0,4,1,1,411,6,Leaving Customers,,,
2717041002693,116,5,13200.0,1,1,1,111,3,Leaving Customers,Female,,
2717041002761,28,7,26080.0,3,1,1,311,5,Leaving Customers,Female,,
2717041002808,9,10,31100.0,4,1,1,411,6,Leaving Customers,Female,,
2717041002846,126,2,3230.0,1,1,1,111,3,Leaving Customers,Male,,
2717041002907,10,8,17805.0,4,1,1,411,6,Leaving Customers,Female,,
2717041002938,67,4,11490.0,1,1,1,111,3,Leaving Customers,Female,,
2717041002945,10,15,51100.0,4,1,2,412,7,Potential Loyalists,Female,,
2717041003065,157,32,139745.0,1,2,3,123,6,Leaving Customers,Female,,
2717041003133,74,2,23000.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003157,106,2,8270.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003188,46,10,14671.0,2,1,1,211,4,Leaving Customers,Female,,
2717041003249,8,16,52540.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041003263,108,3,900.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003300,116,5,13890.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003331,134,12,20595.0,1,1,1,111,3,Leaving Customers,Male,,
2717041003348,109,3,2300.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003379,10,14,66190.0,4,1,2,412,7,Potential Loyalists,Female,,
2717041003409,34,7,17720.0,2,1,1,211,4,Leaving Customers,Female,,
2717041003447,2,23,25815.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041003508,53,2,3420.0,2,1,1,211,4,Leaving Customers,Female,,
2717041003522,29,11,82340.0,3,1,2,312,6,Leaving Customers,Female,,
2717041003553,15,9,10870.0,3,1,1,311,5,Leaving Customers,Female,,
2717041003577,33,2,11850.0,2,1,1,211,4,Leaving Customers,Female,,
2717041003584,144,5,4150.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003607,62,6,10990.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003645,10,17,63030.0,4,2,2,422,8,Potential Loyalists,,,
2717041003706,17,7,18820.0,3,1,1,311,5,Leaving Customers,Female,,
2717041003775,41,11,42615.0,2,1,1,211,4,Leaving Customers,Female,,
2717041003782,22,3,5920.0,3,1,1,311,5,Leaving Customers,Female,,
2717041003850,148,1,1800.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003867,195,1,1100.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003881,65,1,1490.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003942,203,6,4310.0,1,1,1,111,3,Leaving Customers,Female,,
2717041003966,34,9,29286.0,2,1,1,211,4,Leaving Customers,Female,,
2717041004185,58,7,23530.0,2,1,1,211,4,Leaving Customers,Female,,
2717041005052,81,4,12850.0,1,1,1,111,3,Leaving Customers,Female,,
2717041005069,110,2,4430.0,1,1,1,111,3,Leaving Customers,Female,,
2717041005113,36,3,16250.0,2,1,1,211,4,Leaving Customers,Female,,
2717041005120,64,3,5290.0,1,1,1,111,3,Leaving Customers,Female,,
2717041005151,45,5,17735.0,2,1,1,211,4,Leaving Customers,Female,,
2717041005571,2,5,6680.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041005625,56,16,33610.0,2,2,1,221,5,Leaving Customers,Female,,
2717041005632,106,7,25300.0,1,1,1,111,3,Leaving Customers,Female,,
2717041005649,157,2,2495.0,1,1,1,111,3,Leaving Customers,Female,,
2717041005656,9,22,29830.0,4,2,1,421,7,Potential Loyalists,Female,,
2717041005908,114,2,7580.0,1,1,1,111,3,Leaving Customers,Female,,
2717041005922,22,5,4079.0,3,1,1,311,5,Leaving Customers,Female,,
2717041005991,60,12,22529.0,1,1,1,111,3,Leaving Customers,Female,,
2717041006042,155,1,15250.0,1,1,1,111,3,Leaving Customers,Male,,
2717041006066,23,5,22710.0,3,1,1,311,5,Leaving Customers,,,
2717041006073,156,7,32680.0,1,1,1,111,3,Leaving Customers,Female,,
2717041006103,37,6,21584.0,2,1,1,211,4,Leaving Customers,Female,,
2717041006110,1,27,40470.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041006134,13,9,60245.0,4,1,2,412,7,Potential Loyalists,Female,,
2717041006141,8,6,4345.0,4,1,1,411,6,Leaving Customers,Female,,
2717041006165,221,1,8040.0,1,1,1,111,3,Leaving Customers,Female,,
2717041006585,18,9,39588.32,3,1,1,311,5,Leaving Customers,,,
2717041006608,10,12,65185.0,4,1,2,412,7,Potential Loyalists,,,
2717041006639,13,12,24460.0,4,1,1,411,6,Leaving Customers,Female,,
2717041006660,113,5,3540.0,1,1,1,111,3,Leaving Customers,Male,,
2717041006677,16,7,11131.0,3,1,1,311,5,Leaving Customers,Male,,
2717041006707,123,7,16420.0,1,1,1,111,3,Leaving Customers,Male,,
2717041006738,20,19,39600.0,3,2,1,321,6,Leaving Customers,,,
2717041006745,42,13,12080.0,2,1,1,211,4,Leaving Customers,Female,,
2717041006776,5,37,111380.0,4,2,3,423,9,Potential Loyalists,Female,,
2717041006851,2,17,56006.0,5,2,2,522,9,Potential Loyalists,Female,,
2717041006875,82,11,26535.0,1,1,1,111,3,Leaving Customers,Female,,
2717041006905,28,9,25525.0,3,1,1,311,5,Leaving Customers,Female,,
2717041006912,30,2,2730.0,2,1,1,211,4,Leaving Customers,Female,,
2717041006936,16,3,7010.0,3,1,1,311,5,Leaving Customers,Female,,
2717041007049,21,9,7730.0,3,1,1,311,5,Leaving Customers,Female,,
2717041007124,34,16,21551.0,2,2,1,221,5,Leaving Customers,Female,,
2717041007131,17,8,7790.0,3,1,1,311,5,Leaving Customers,Female,,
2717041007148,12,11,32239.0,4,1,1,411,6,Leaving Customers,Female,,
2717041007162,33,11,14890.0,2,1,1,211,4,Leaving Customers,Female,,
2717041007209,25,1,200.0,3,1,1,311,5,Leaving Customers,Female,,
2717041007223,30,3,13110.0,2,1,1,211,4,Leaving Customers,Female,,
2717041007278,3,21,45200.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041007285,116,4,8370.0,1,1,1,111,3,Leaving Customers,Female,,
2717041007421,40,5,13275.0,2,1,1,211,4,Leaving Customers,Female,,
2717041007469,107,4,15780.0,1,1,1,111,3,Leaving Customers,Female,,
2717041007537,21,13,19039.0,3,1,1,311,5,Leaving Customers,Female,,
2717041007605,13,11,40360.0,4,1,1,411,6,Leaving Customers,Female,,
2717041007612,21,2,6850.0,3,1,1,311,5,Leaving Customers,Female,,
2717041007636,26,35,43061.0,3,2,1,321,6,Leaving Customers,Female,,
2717041007643,52,15,78475.0,2,1,2,212,5,Leaving Customers,Female,,
2717041007674,208,1,1530.0,1,1,1,111,3,Leaving Customers,Female,,
2717041007681,64,2,1180.0,1,1,1,111,3,Leaving Customers,Female,,
2717041007698,67,5,1350.0,1,1,1,111,3,Leaving Customers,Female,,
2717041007728,6,47,98221.0,4,3,2,432,9,Potential Loyalists,Female,,
2717041007742,140,3,14710.0,1,1,1,111,3,Leaving Customers,Female,,
2717041007759,4,9,15880.0,5,1,1,511,7,Potential Loyalists,Male,,
2717041007797,17,19,101285.0,3,2,3,323,8,Potential Loyalists,Male,,
2717041007841,182,1,220.0,1,1,1,111,3,Leaving Customers,Female,,
2717041007889,156,2,5540.0,1,1,1,111,3,Leaving Customers,Female,,
2717041007933,19,3,2710.0,3,1,1,311,5,Leaving Customers,Female,,
2717041008022,15,7,14210.0,3,1,1,311,5,Leaving Customers,Female,,
2717041008046,100,4,6535.0,1,1,1,111,3,Leaving Customers,Female,,
2717041008091,163,1,790.0,1,1,1,111,3,Leaving Customers,Male,,
2717041008107,173,1,3540.0,1,1,1,111,3,Leaving Customers,Female,,
2717041008138,91,12,10900.0,1,1,1,111,3,Leaving Customers,Female,,
2717041008367,45,10,17740.0,2,1,1,211,4,Leaving Customers,Female,,
2717041008398,2,39,134190.0,5,2,3,523,10,Potential Loyalists,Female,,
2717041008404,156,1,1140.0,1,1,1,111,3,Leaving Customers,Female,,
2717041008428,36,5,6290.0,2,1,1,211,4,Leaving Customers,Female,,
2717041008459,135,1,4550.0,1,1,1,111,3,Leaving Customers,Female,,
2717041008480,50,3,11150.0,2,1,1,211,4,Leaving Customers,Female,,
2717041008510,1,3,5485.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041008572,15,39,146246.9,3,2,3,323,8,Potential Loyalists,Female,,
2717041008626,32,18,47645.0,2,2,1,221,5,Leaving Customers,Female,,
2717041008633,36,4,8430.0,2,1,1,211,4,Leaving Customers,Female,,
2717041008664,9,8,7460.0,4,1,1,411,6,Leaving Customers,Female,,
2717041008718,13,5,10430.0,4,1,1,411,6,Leaving Customers,Female,,
2717041008732,188,2,6350.0,1,1,1,111,3,Leaving Customers,Male,,
2717041008749,30,18,60305.0,2,2,2,222,6,Leaving Customers,Female,,
2717041008787,20,9,40151.0,3,1,1,311,5,Leaving Customers,,,
2717041008817,155,4,16980.0,1,1,1,111,3,Leaving Customers,Female,,
2717041008824,3,19,29600.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041008831,3,16,41210.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041008862,44,4,7890.0,2,1,1,211,4,Leaving Customers,Female,,
2717041008909,35,2,1500.0,2,1,1,211,4,Leaving Customers,Female,,
2717041008961,77,1,1740.0,1,1,1,111,3,Leaving Customers,Female,,
2717041009012,25,6,29120.0,3,1,1,311,5,Leaving Customers,Female,,
2717041009067,5,8,14030.0,4,1,1,411,6,Leaving Customers,Female,,
2717041009081,2,85,190873.0,5,4,3,543,12,Potential Loyalists,Female,,
2717041009098,18,12,19670.0,3,1,1,311,5,Leaving Customers,Female,,
2717041009104,120,10,11846.0,1,1,1,111,3,Leaving Customers,Female,,
2717041009111,10,6,5020.0,4,1,1,411,6,Leaving Customers,Female,,
2717041009135,41,3,1100.0,2,1,1,211,4,Leaving Customers,Female,,
2717041009173,129,6,12040.0,1,1,1,111,3,Leaving Customers,Female,,
2717041009203,11,4,18260.0,4,1,1,411,6,Leaving Customers,Female,,
2717041009227,223,1,1170.0,1,1,1,111,3,Leaving Customers,Female,,
2717041009258,46,2,3370.0,2,1,1,211,4,Leaving Customers,Female,,
2717041009265,9,32,71165.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041009272,5,8,25246.0,4,1,1,411,6,Leaving Customers,Female,,
2717041009319,11,6,27620.0,4,1,1,411,6,Leaving Customers,Female,,
2717041009388,5,19,58015.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041009401,123,3,36230.0,1,1,1,111,3,Leaving Customers,Male,,
2717041009432,6,59,40570.0,4,3,1,431,8,Potential Loyalists,Male,,
2717041009470,3,22,53490.0,5,2,2,522,9,Potential Loyalists,Female,,
2717041009494,7,8,61375.0,4,1,2,412,7,Potential Loyalists,Female,,
2717041009579,14,7,13684.2,4,1,1,411,6,Leaving Customers,Female,,
2717041009586,80,5,22975.0,1,1,1,111,3,Leaving Customers,Female,,
2717041009623,48,6,25640.0,2,1,1,211,4,Leaving Customers,Female,,
2717041009630,1,41,98750.0,5,3,2,532,10,Potential Loyalists,Female,,
2717041009715,8,6,16920.0,4,1,1,411,6,Leaving Customers,Female,,
2717041009739,4,19,34503.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041009784,3,3,2390.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041009807,119,2,2320.0,1,1,1,111,3,Leaving Customers,Female,,
2717041009876,3,4,10400.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041009913,1,33,122230.0,5,2,3,523,10,Potential Loyalists,Female,,
2717041009920,145,3,2220.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010056,8,10,44025.0,4,1,1,411,6,Leaving Customers,Female,,
2717041010070,112,8,32723.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010100,55,8,43660.0,2,1,1,211,4,Leaving Customers,Female,,
2717041010131,69,1,3175.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010148,9,2,8360.0,4,1,1,411,6,Leaving Customers,Female,,
2717041010155,10,17,80595.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041010230,54,3,3910.0,2,1,1,211,4,Leaving Customers,Female,,
2717041010278,2,8,9280.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041010292,115,4,9130.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010308,4,10,28620.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041010353,35,14,50665.0,2,1,2,212,5,Leaving Customers,,,
2717041010384,105,1,1340.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010391,2,25,36289.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041010421,157,5,15005.0,1,1,1,111,3,Leaving Customers,Male,,
2717041010438,12,5,41674.0,4,1,1,411,6,Leaving Customers,Female,,
2717041010476,81,2,1590.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010490,11,13,22820.0,4,1,1,411,6,Leaving Customers,Female,,
2717041010551,42,8,31215.0,2,1,1,211,4,Leaving Customers,Female,,
2717041010582,9,19,54005.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041010612,21,20,64130.0,3,2,2,322,7,Potential Loyalists,,,
2717041010629,209,1,450.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010681,97,1,200.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010704,212,1,600.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010711,8,9,12650.0,4,1,1,411,6,Leaving Customers,Female,,
2717041010759,124,7,20080.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010780,24,1,2510.0,3,1,1,311,5,Leaving Customers,Female,,
2717041010834,142,1,965.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010841,12,5,13400.0,4,1,1,411,6,Leaving Customers,Female,,
2717041010865,12,31,20610.0,4,2,1,421,7,Potential Loyalists,Female,,
2717041010896,197,1,970.0,1,1,1,111,3,Leaving Customers,Female,,
2717041010940,24,13,40400.0,3,1,1,311,5,Leaving Customers,Male,,
2717041010988,32,15,33691.0,2,1,1,211,4,Leaving Customers,Female,,
2717041011015,216,2,7880.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011022,96,3,4910.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011053,4,8,15965.0,5,1,1,511,7,Potential Loyalists,Male,,
2717041011084,2,8,14660.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041011091,114,4,14640.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011107,223,1,1340.0,1,1,1,111,3,Leaving Customers,Male,,
2717041011114,5,8,14980.0,4,1,1,411,6,Leaving Customers,Female,,
2717041011145,4,8,58650.0,5,1,2,512,8,Potential Loyalists,Female,,
2717041011176,9,9,40695.0,4,1,1,411,6,Leaving Customers,Female,,
2717041011213,60,5,13485.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011244,107,2,13740.0,1,1,1,111,3,Leaving Customers,Male,,
2717041011275,2,39,182890.0,5,2,3,523,10,Potential Loyalists,Female,,
2717041011305,118,5,21360.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011336,65,5,27570.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011343,37,22,67730.0,2,2,2,222,6,Leaving Customers,Female,,
2717041011374,8,13,7105.0,4,1,1,411,6,Leaving Customers,Female,,
2717041011398,156,1,1200.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011442,51,3,1310.0,2,1,1,211,4,Leaving Customers,Female,,
2717041011497,2,3,8090.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041011510,151,3,13690.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011534,176,1,5120.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011558,1,4,15040.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041011596,10,14,38060.0,4,1,1,411,6,Leaving Customers,Female,,
2717041011619,187,1,590.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011626,208,1,1690.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011633,5,8,22385.0,4,1,1,411,6,Leaving Customers,Female,,
2717041011657,146,1,4230.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011725,71,6,35840.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011749,133,6,7400.0,1,1,1,111,3,Leaving Customers,Female,,
2717041011770,159,1,9900.0,1,1,1,111,3,Leaving Customers,Male,,
2717041011879,33,8,14550.0,2,1,1,211,4,Leaving Customers,Female,,
2717041011985,64,16,35384.0,1,2,1,121,4,Leaving Customers,Female,,
2717041011992,12,18,96144.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041012005,71,3,8280.0,1,1,1,111,3,Leaving Customers,Female,,
2717041012012,182,6,14190.0,1,1,1,111,3,Leaving Customers,Female,,
2717041012043,63,1,2500.0,1,1,1,111,3,Leaving Customers,Male,,
2717041012050,9,34,55625.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041012067,105,2,6970.0,1,1,1,111,3,Leaving Customers,Female,,
2717041012074,9,24,60581.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041012203,106,2,17420.0,1,1,1,111,3,Leaving Customers,Female,,
2717041012241,1,18,19170.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041012258,205,2,6590.0,1,1,1,111,3,Leaving Customers,Female,,
2717041012265,38,6,28460.0,2,1,1,211,4,Leaving Customers,Female,,
2717041012319,6,14,119995.0,4,1,3,413,8,Potential Loyalists,Female,,
2717041012340,4,39,128532.2,5,2,3,523,10,Potential Loyalists,,,
2717041012449,15,9,26040.0,3,1,1,311,5,Leaving Customers,Female,,
2717041012463,4,2,20680.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041012487,3,26,118399.0,5,2,3,523,10,Potential Loyalists,Female,,
2717041012548,2,84,180855.0,5,4,3,543,12,Potential Loyalists,Female,,
2717041012562,9,7,20830.0,4,1,1,411,6,Leaving Customers,Female,,
2717041012593,1,15,15325.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041012630,3,5,43290.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041012654,1,46,127665.0,5,3,3,533,11,Potential Loyalists,Female,,
2717041012685,8,10,34985.0,4,1,1,411,6,Leaving Customers,Female,,
2717041012722,11,23,42030.0,4,2,1,421,7,Potential Loyalists,Female,,
2717041012777,18,3,3350.0,3,1,1,311,5,Leaving Customers,Female,,
2717041012784,162,1,2700.0,1,1,1,111,3,Leaving Customers,Female,,
2717041012791,16,8,45250.0,3,1,1,311,5,Leaving Customers,Female,,
2717041012821,47,5,34140.0,2,1,1,211,4,Leaving Customers,Female,,
2717041012838,84,1,4270.0,1,1,1,111,3,Leaving Customers,Female,,
2717041012852,2,9,38710.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041012937,26,5,9710.0,3,1,1,311,5,Leaving Customers,Female,,
2717041012951,30,14,17460.0,2,1,1,211,4,Leaving Customers,Female,,
2717041012975,5,8,22085.0,4,1,1,411,6,Leaving Customers,Female,,
2717041012982,5,7,13520.0,4,1,1,411,6,Leaving Customers,Female,,
2717041013033,213,1,2000.0,1,1,1,111,3,Leaving Customers,Female,,
2717041013057,6,34,100046.0,4,2,3,423,9,Potential Loyalists,Female,,
2717041013064,222,1,760.0,1,1,1,111,3,Leaving Customers,Female,,
2717041013088,71,6,6875.0,1,1,1,111,3,Leaving Customers,Female,,
2717041013101,5,16,18211.0,4,2,1,421,7,Potential Loyalists,Female,,
2717041013125,14,9,12850.0,4,1,1,411,6,Leaving Customers,Female,,
2717041013132,4,5,15630.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041013224,10,5,9720.0,4,1,1,411,6,Leaving Customers,Female,,
2717041013231,35,8,6570.0,2,1,1,211,4,Leaving Customers,Female,,
2717041013248,8,17,77400.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041013255,2,8,18945.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041013262,12,11,61840.0,4,1,2,412,7,Potential Loyalists,Female,,
2717041013279,19,7,34700.0,3,1,1,311,5,Leaving Customers,Female,,
2717041013286,21,2,3590.0,3,1,1,311,5,Leaving Customers,Female,,
2717041013293,45,1,18710.0,2,1,1,211,4,Leaving Customers,Female,,
2717041013316,169,2,4380.0,1,1,1,111,3,Leaving Customers,Female,,
2717041013323,58,4,12780.0,2,1,1,211,4,Leaving Customers,Female,,
2717041013347,11,11,22800.0,4,1,1,411,6,Leaving Customers,Female,,
2717041013361,112,3,6880.0,1,1,1,111,3,Leaving Customers,,,
2717041013408,10,11,17080.0,4,1,1,411,6,Leaving Customers,Female,,
2717041013422,13,29,50030.0,4,2,2,422,8,Potential Loyalists,Male,,
2717041013439,108,3,14300.0,1,1,1,111,3,Leaving Customers,Female,,
2717041013446,1,8,22660.0,5,1,1,511,7,Potential Loyalists,,,
2717041013453,219,1,1460.0,1,1,1,111,3,Leaving Customers,Female,,
2717041013484,1,4,5740.0,5,1,1,511,7,Potential Loyalists,Male,,
2717041013552,107,1,8925.0,1,1,1,111,3,Leaving Customers,,,
2717041013569,5,10,9061.0,4,1,1,411,6,Leaving Customers,Female,,
2717041013613,10,19,98540.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041013668,205,2,3650.0,1,1,1,111,3,Leaving Customers,Female,,
2717041013675,5,3,2490.0,4,1,1,411,6,Leaving Customers,Female,,
2717041013705,24,10,22825.0,3,1,1,311,5,Leaving Customers,Female,,
